Beds,Baths,TotalRooms,Area,Type,Address,Sector_or_Block,Region,Town,City,Price
3,3,6,1750,Apartment,"Zakir Hossain Housing Society, South Khulshi, Khulshi, Chattogram",No Sector/Block,South Khulshi,Khulshi,Chattogram,25000.0
3,3,6,1350,Apartment,"Nasirabad Properties Residential Area, Khulshi, Chattogram",No Sector/Block,Nasirabad Properties Residential Area,Khulshi,Chattogram,23000.0
3,3,6,1100,Apartment,"East Kazipara, Mirpur, Dhaka",No Sector/Block,East Kazipara,Mirpur,Dhaka,16000.0
3,3,6,2000,Apartment,"VIP Housing Society, South Khulshi, Khulshi, Chattogram",No Sector/Block,South Khulshi,Khulshi,Chattogram,35000.0
3,3,6,2000,Apartment,"VIP Housing Society, South Khulshi, Khulshi, Chattogram",No Sector/Block,South Khulshi,Khulshi,Chattogram,35000.0
3,3,6,2000,Apartment,"VIP Housing Society, South Khulshi, Khulshi, Chattogram",No Sector/Block,South Khulshi,Khulshi,Chattogram,35000.0
3,3,6,2000,Apartment,"VIP Housing Society, South Khulshi, Khulshi, Chattogram",No Sector/Block,South Khulshi,Khulshi,Chattogram,35000.0
3,3,6,2000,Apartment,"VIP Housing Society, South Khulshi, Khulshi, Chattogram",No Sector/Block,South Khulshi,Khulshi,Chattogram,35000.0
3,3,6,1600,Apartment,"Paharika Residential Area, South Khulshi, Khulshi, Chattogram",No Sector/Block,South Khulshi,Khulshi,Chattogram,23000.0
3,3,6,2600,Apartment,"Gulshan 1, Gulshan, Dhaka",No Sector/Block,Gulshan 1,Gulshan,Dhaka,100000.0
2,2,4,750,Apartment,"Katashur, Mohammadpur, Dhaka",No Sector/Block,Katashur,Mohammadpur,Dhaka,16000.0
3,3,6,2115,Apartment,"Zakir Hossain Housing Society, South Khulshi, Khulshi, Chattogram",No Sector/Block,South Khulshi,Khulshi,Chattogram,100000.0
5,5,10,3600,Apartment,"Gulshan 2, Gulshan, Dhaka",No Sector/Block,Gulshan 2,Gulshan,Dhaka,200000.0
4,4,8,3200,Apartment,"Gulshan 1, Gulshan, Dhaka",No Sector/Block,Gulshan 1,Gulshan,Dhaka,250000.0
4,4,8,3150,Apartment,"Sector 4, Uttara, Dhaka",Sector 4,Uttara,Uttara,Dhaka,100000.0
2,2,4,700,Apartment,"PC Culture Housing, Mohammadpur, Dhaka",No Sector/Block,PC Culture Housing,Mohammadpur,Dhaka,15000.0
3,3,6,1350,Apartment,"Block A, Section 11, Mirpur, Dhaka",Block A,Section 11,Mirpur,Dhaka,25000.0
4,4,8,2100,Apartment,"Road No 2, Sector 13, Uttara, Dhaka",Sector 13,Uttara,Uttara,Dhaka,60000.0
3,4,7,1319,Apartment,"Block C, Bashundhara R-A, Dhaka",Block C,Bashundhara R-A,Bashundhara R-A,Dhaka,26000.0
3,3,6,1676,Apartment,"Sector 4, Uttara, Dhaka",Sector 4,Uttara,Uttara,Dhaka,35000.0
3,3,6,1400,Apartment,"Boro Maghbazar, Maghbazar, Dhaka",No Sector/Block,Boro Maghbazar,Maghbazar,Dhaka,27000.0
3,3,6,1825,Apartment,"Sector 4, Uttara, Dhaka",Sector 4,Uttara,Uttara,Dhaka,45000.0
5,3,8,3000,Apartment,"Sector 3, Uttara, Dhaka",Sector 3,Uttara,Uttara,Dhaka,120000.0
5,3,8,3000,Apartment,"Sector 3, Uttara, Dhaka",Sector 3,Uttara,Uttara,Dhaka,120000.0
3,3,6,1250,Apartment,"Block A, Chandrima Model Town, Mohammadpur, Dhaka",Block A,Chandrima Model Town,Mohammadpur,Dhaka,15000.0
3,3,6,1250,Apartment,"Block A, Chandrima Model Town, Mohammadpur, Dhaka",Block A,Chandrima Model Town,Mohammadpur,Dhaka,15000.0
3,3,6,1300,Apartment,"Maghbazar, Dhaka",No Sector/Block,Maghbazar,Maghbazar,Dhaka,27000.0
3,3,6,1200,Apartment,"Kalabagan, Dhaka",No Sector/Block,Kalabagan,Kalabagan,Dhaka,30000.0
3,2,5,1250,Apartment,"Shukrabad, Dhanmondi, Dhaka",No Sector/Block,Shukrabad,Dhanmondi,Dhaka,30000.0
3,2,5,1250,Apartment,"Shukrabad, Dhanmondi, Dhaka",No Sector/Block,Shukrabad,Dhanmondi,Dhaka,30000.0
3,3,6,2977,Apartment,"Gulshan 2, Gulshan, Dhaka",No Sector/Block,Gulshan 2,Gulshan,Dhaka,200000.0
3,3,6,2300,Apartment,"Block K, Baridhara, Dhaka",Block K,Baridhara,Baridhara,Dhaka,75000.0
4,3,7,1500,Apartment,"Sector 11, Uttara, Dhaka",Sector 11,Uttara,Uttara,Dhaka,40000.0
3,3,6,2300,Apartment,"Baridhara, Dhaka",No Sector/Block,Baridhara,Baridhara,Dhaka,150000.0
3,3,6,1250,Apartment,"Block A, Chandrima Model Town, Mohammadpur, Dhaka",Block A,Chandrima Model Town,Mohammadpur,Dhaka,15000.0
3,3,6,1500,Apartment,"Al-Falah Housing Society, East Nasirabad, Chattogram",No Sector/Block,Al-Falah Housing Society,East Nasirabad,Chattogram,20000.0
3,4,7,2500,Apartment,"Block J, Bashundhara R-A, Dhaka",Block J,Bashundhara R-A,Bashundhara R-A,Dhaka,35000.0
2,1,3,350,Apartment,"PC Culture Housing, Mohammadpur, Dhaka",No Sector/Block,PC Culture Housing,Mohammadpur,Dhaka,10000.0
3,4,7,2600,Apartment,"Sector 13, Uttara, Dhaka",Sector 13,Uttara,Uttara,Dhaka,70000.0
2,2,4,800,Apartment,"Mohammadpur, Dhaka",No Sector/Block,Mohammadpur,Mohammadpur,Dhaka,15500.0
3,3,6,1200,Apartment,"Cantonment, Dhaka",No Sector/Block,Cantonment,Cantonment,Dhaka,15000.0
3,3,6,1350,Apartment,"Sector 3, Uttara, Dhaka",Sector 3,Uttara,Uttara,Dhaka,55000.0
3,3,6,1550,Apartment,"South Badda, Badda, Dhaka",No Sector/Block,South Badda,Badda,Dhaka,40000.0
2,1,3,600,Apartment,"Naya Nagar, Khilkhet, Dhaka",No Sector/Block,Naya Nagar,Khilkhet,Dhaka,11500.0
4,4,8,1975,Apartment,"Tajmahal Road, Mohammadpur, Dhaka",No Sector/Block,Tajmahal Road,Mohammadpur,Dhaka,60000.0
3,2,5,1050,Apartment,"Block D, Mohanagar Housing, West Rampura, Rampura, Dhaka",Block D,West Rampura,Rampura,Dhaka,21000.0
3,3,6,1500,Apartment,"Mohammadia Housing Society, Mohammadpur, Dhaka",No Sector/Block,Mohammadia Housing Society,Mohammadpur,Dhaka,21000.0
2,2,4,900,Apartment,"Mohammadi Housing LTD., Mohammadpur, Dhaka",No Sector/Block,Mohammadi Housing LTD.,Mohammadpur,Dhaka,20000.0
4,3,7,1975,Apartment,"Tajmahal Road, Mohammadpur, Dhaka",No Sector/Block,Tajmahal Road,Mohammadpur,Dhaka,60000.0
3,4,7,1350,Apartment,"Paikpara, Ahmed Nagar, Mirpur, Dhaka",No Sector/Block,Ahmed Nagar,Mirpur,Dhaka,22000.0
3,3,6,1300,Apartment,"Sector 2, Block E, Aftab Nagar, Dhaka",Sector 2,Block E,Aftab Nagar,Dhaka,21000.0
3,3,6,1200,Apartment,"Mohammadi Housing LTD., Mohammadpur, Dhaka",No Sector/Block,Mohammadi Housing LTD.,Mohammadpur,Dhaka,22000.0
2,1,3,450,Apartment,"Faydabad, Dakshin Khan, Dhaka",No Sector/Block,Faydabad,Dakshin Khan,Dhaka,7300.0
3,2,5,1100,Apartment,"Mohammadi Housing LTD., Mohammadpur, Dhaka",No Sector/Block,Mohammadi Housing LTD.,Mohammadpur,Dhaka,18000.0
1,1,2,600,Apartment,"Block A, Section 12, Mirpur, Dhaka",Block A,Section 12,Mirpur,Dhaka,12000.0
3,4,7,1800,Apartment,"Banani, Dhaka",No Sector/Block,Banani,Banani,Dhaka,75000.0
2,2,4,1190,Apartment,"West Rampura, Rampura, Dhaka",No Sector/Block,West Rampura,Rampura,Dhaka,40000.0
3,3,6,1600,Apartment,"Block G, Bashundhara R-A, Dhaka",Block G,Bashundhara R-A,Bashundhara R-A,Dhaka,27000.0
2,2,4,950,Apartment,"Hazaribag, Dhaka",No Sector/Block,Hazaribag,Hazaribag,Dhaka,16000.0
3,4,7,1800,Apartment,"Maghbazar, Dhaka",No Sector/Block,Maghbazar,Maghbazar,Dhaka,50000.0
2,2,4,750,Apartment,"West Shewrapara, Mirpur, Dhaka",No Sector/Block,West Shewrapara,Mirpur,Dhaka,16000.0
4,4,8,3200,Apartment,"Gulshan 1, Gulshan, Dhaka",No Sector/Block,Gulshan 1,Gulshan,Dhaka,150000.0
4,5,9,2300,Apartment,"Avenue 6, Mirpur DOHS, Mirpur, Dhaka",No Sector/Block,Mirpur DOHS,Mirpur,Dhaka,50000.0
3,4,7,2600,Apartment,"Block K, Baridhara, Dhaka",Block K,Baridhara,Baridhara,Dhaka,170000.0
3,4,7,1700,Apartment,"Kazir Dewri, Chattogram",No Sector/Block,Kazir Dewri,Kazir Dewri,Chattogram,28000.0
3,3,6,1400,Apartment,"Sector 5, Uttara, Dhaka",Sector 5,Uttara,Uttara,Dhaka,30000.0
3,2,5,950,Apartment,"West Shewrapara, Mirpur, Dhaka",No Sector/Block,West Shewrapara,Mirpur,Dhaka,20000.0
4,4,8,2230,Apartment,"Sector 10, Uttara, Dhaka",Sector 10,Uttara,Uttara,Dhaka,36000.0
4,4,8,2280,Apartment,"Block D, Bashundhara R-A, Dhaka",Block D,Bashundhara R-A,Bashundhara R-A,Dhaka,70000.0
3,4,7,2197,Apartment,"Road No 17, Sector 7, Uttara, Dhaka",Sector 7,Uttara,Uttara,Dhaka,60000.0
3,3,6,1600,Apartment,"Block C, Section 2, Mirpur, Dhaka",Block C,Section 2,Mirpur,Dhaka,32000.0
3,3,6,1300,Apartment,"Jalalabad Housing Society, West Khulshi, 9 No. North Pahartali Ward, Chattogram",No Sector/Block,West Khulshi,9 No. North Pahartali Ward,Chattogram,18000.0
3,3,6,2000,Apartment,"VIP Housing Society, South Khulshi, Khulshi, Chattogram",No Sector/Block,South Khulshi,Khulshi,Chattogram,35000.0
3,3,6,1393,Apartment,"East Ahmed Nagar, Ahmed Nagar, Mirpur, Dhaka",No Sector/Block,Ahmed Nagar,Mirpur,Dhaka,18000.0
3,3,6,1550,Duplex,"Sector 4, Uttara, Dhaka",Sector 4,Uttara,Uttara,Dhaka,35000.0
3,3,6,1200,Apartment,"Bashundhara R-A, Dhaka",No Sector/Block,Bashundhara R-A,Bashundhara R-A,Dhaka,17000.0
2,2,4,750,Apartment,"Block B, Section 13, Mirpur, Dhaka",Block B,Section 13,Mirpur,Dhaka,16000.0
3,4,7,1260,Apartment,"Block A, Section 10, Mirpur, Dhaka",Block A,Section 10,Mirpur,Dhaka,25000.0
4,3,7,3200,Apartment,"Shiddheswari, Dhaka",No Sector/Block,Shiddheswari,Shiddheswari,Dhaka,90000.0
2,2,4,650,Apartment,"Block B, Section 12, Mirpur, Dhaka",Block B,Section 12,Mirpur,Dhaka,13500.0
1,1,2,400,Apartment,"Sector 7, Uttara, Dhaka",Sector 7,Uttara,Uttara,Dhaka,25000.0
3,3,6,1600,Apartment,"Sector 12, Uttara, Dhaka",Sector 12,Uttara,Uttara,Dhaka,25000.0
2,2,4,900,Apartment,"Boro Maghbazar, Maghbazar, Dhaka",No Sector/Block,Boro Maghbazar,Maghbazar,Dhaka,25000.0
3,3,6,2000,Apartment,"Banani, Dhaka",No Sector/Block,Banani,Banani,Dhaka,35000.0
2,2,4,800,Apartment,"Mirpur, Dhaka",No Sector/Block,Mirpur,Mirpur,Dhaka,14000.0
2,2,4,650,Apartment,"Section 13, Mirpur, Dhaka",No Sector/Block,Section 13,Mirpur,Dhaka,12000.0
3,3,6,1075,Apartment,"Shantibag, Malibagh, Dhaka",No Sector/Block,Shantibag,Malibagh,Dhaka,25000.0
17,10,27,9000,Building,"Block H, Bashundhara R-A, Dhaka",Block H,Bashundhara R-A,Bashundhara R-A,Dhaka,350000.0
3,3,6,1150,Apartment,"Mirpur, Dhaka",No Sector/Block,Mirpur,Mirpur,Dhaka,20000.0
3,3,6,1450,Apartment,"Sector 11, Uttara, Dhaka",Sector 11,Uttara,Uttara,Dhaka,27000.0
5,5,10,2300,Apartment,"Talertek, Khilkhet, Dhaka",No Sector/Block,Talertek,Khilkhet,Dhaka,35000.0
3,4,7,2250,Apartment,"South Khulshi, Khulshi, Chattogram",No Sector/Block,South Khulshi,Khulshi,Chattogram,50000.0
3,3,6,1365,Apartment,"Rose Valley Residential Area, 9 No. North Pahartali Ward, Chattogram",No Sector/Block,Rose Valley Residential Area,9 No. North Pahartali Ward,Chattogram,20000.0
3,3,6,1250,Apartment,"Pallabi Extension, Pallabi, Mirpur, Dhaka",No Sector/Block,Pallabi,Mirpur,Dhaka,20000.0
2,2,4,800,Apartment,"Madhya Ajampur, Dakshin Khan, Dhaka",No Sector/Block,Madhya Ajampur,Dakshin Khan,Dhaka,12000.0
3,3,6,1850,Apartment,"Block D, Bashundhara R-A, Dhaka",Block D,Bashundhara R-A,Bashundhara R-A,Dhaka,40000.0
3,3,6,1850,Apartment,"Block D, Bashundhara R-A, Dhaka",Block D,Bashundhara R-A,Bashundhara R-A,Dhaka,40000.0
3,3,6,1400,Apartment,"Sector 11, Uttara, Dhaka",Sector 11,Uttara,Uttara,Dhaka,35000.0
